Geometry,Lon,Lat,R_EOS50_SOS50,EOS50_SOS50_Tem_C,P_EOS50_SOS50,EOS50_SOS50_Tem_P,R_SOS50_EOS50,SOS50_EOS50_Tem_C,P_SOS50_EOS50,SOS50_EOS50_Tem_P,Clim_cover_type2
POINT(-66.125 -54.875),-66.125,-54.875,-0.048718309,4.546842393,0.813518446,0.371551061,-0.033401808,-14.60158211,0.932345303,0.099074466,Temperate deciduous forest
POINT(172.875 -41.875),172.875,-41.875,0.029821093,-3.326585236,0.690849421,0.089224401,-1.598552558,-15.43795779,0.064066695,0.113120593,Temperate grassland
POINT(-65.625 -32.875),-65.625,-32.875,-0.405966908,-7.189778317,0.073486739,0.01781002,0.243847833,14.8859358,0.202851669,0.001182474,Tropical grassland
POINT(-52.375 -32.375),-52.375,-32.375,-0.225201907,9.701115699,0.514521621,0.218513742,-0.082551117,-4.355761242,0.625569857,0.266473995,Tropical grassland
POINT(-66.125 -32.375),-66.125,-32.375,-0.26784465,-13.36499859,0.36712201,0.03314026,-0.104537739,-11.50969681,0.682368824,0.18447856,Tropical grassland
POINT(28.625 -32.375),28.625,-32.375,0.096864578,16.39610434,0.540375951,0.092359905,-0.023095989,-33.93152634,0.956115177,0.023738964,Tropical grassland
POINT(-64.625 -32.375),-64.625,-32.375,-0.503946584,-4.304051982,0.008044048,0.455476733,-0.275581568,-5.263870879,0.46660917,0.472438723,Tropical grassland
POINT(-65.125 -32.125),-65.125,-32.125,0.010137839,2.086380899,0.951241654,0.104693791,-0.321474855,-1.127234256,0.387176618,0.667630575,Tropical grassland
POINT(-64.875 -32.125),-64.875,-32.125,-0.013749957,2.529166737,0.932475414,0.07006024,-0.277915726,-3.603624344,0.438148207,0.320959166,Tropical grassland
POINT(-65.625 -31.875),-65.625,-31.875,-0.253017636,-2.453290092,0.266718809,0.753666657,0.272239734,-2.697481637,0.50891483,0.520604136,Tropical grassland
