Lon,Lat,geometry,Greenup_DOY_mean,MidGreenup_DOY_mean,Maturity_DOY_mean,Peak_DOY_mean,Senesc_DOY_mean,MidGreendown_DOY_mean,Dormancy_DOY_mean
-66.125,-54.875,POINT(-66.125 -54.875),-89,-54,-11,23,52,97,132
172.875,-41.875,POINT(172.875 -41.875),-130,-80,-2,22,54,94,129
-65.625,-32.875,POINT(-65.625 -32.875),-74,-32,19,42,70,114,167
-52.375,-32.375,POINT(-52.375 -32.375),-92,-43,18,51,83,135,179
-66.125,-32.375,POINT(-66.125 -32.375),-77,-33,23,49,76,121,171
28.625,-32.375,POINT(28.625 -32.375),-94,-45,8,38,76,131,179
-64.625,-32.375,POINT(-64.625 -32.375),-71,-27,15,40,62,105,142
-65.125,-32.125,POINT(-65.125 -32.125),-87,-39,12,40,76,124,167
-64.875,-32.125,POINT(-64.875 -32.125),-87,-39,12,40,76,124,167
-65.625,-31.875,POINT(-65.625 -31.875),-90,-47,25,55,81,130,177
-65.375,-31.875,POINT(-65.375 -31.875),-90,-47,25,55,81,130,177
-64.875,-31.875,POINT(-64.875 -31.875),-87,-39,12,40,76,124,167
27.625,-31.625,POINT(27.625 -31.625),-80,-32,26,55,89,138,183
-64.625,-31.625,POINT(-64.625 -31.625),-77,-42,-2,32,61,112,161
-65.375,-31.375,POINT(-65.375 -31.375),-70,-24,24,48,75,122,179
28.875,-31.375,POINT(28.875 -31.375),-92,-46,10,42,80,135,183
28.625,-31.375,POINT(28.625 -31.375),-85,-41,19,58,88,141,181
-64.875,-31.375,POINT(-64.875 -31.375),-79,-38,13,40,73,114,159
27.875,-31.125,POINT(27.875 -31.125),-73,-23,26,56,87,135,185
29.625,-31.125,POINT(29.625 -31.125),-90,-46,11,45,79,139,182
28.875,-31.125,POINT(28.875 -31.125),-79,-39,21,59,89,147,188
30.125,-31.125,POINT(30.125 -31.125),-92,-41,17,51,85,144,187
-64.625,-31.125,POINT(-64.625 -31.125),-82,-49,7,37,70,121,170
-64.375,-31.125,POINT(-64.375 -31.125),-64,-29,8,33,61,102,151
28.125,-30.875,POINT(28.125 -30.875),-66,-27,15,48,79,125,171
28.875,-30.875,POINT(28.875 -30.875),-80,-31,30,63,91,142,184
